Date,CCTV_ID,Timestamp,Track_ID,Image_Path,Brand,Color,Type,first_seen_ts,last_seen_ts,first_seen_iso,last_seen_iso
22-05-2026,CCTV01,04:59:55,1,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV01/CCTV01_track_1_Car_22-05-2026_04-59-55_f000067_crop.jpg,Toyota,Gray,Car,1779400793,1779400801,2026-05-22T04:59:53.875186,2026-05-22T05:00:01.750371
22-05-2026,CCTV04,04:59:55,0,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_0_Car_22-05-2026_04-59-55_f000067_crop.jpg,Toyota,White,Car,1779400794,1779400800,2026-05-22T04:59:54.320951,2026-05-22T05:00:00.561664
22-05-2026,CCTV05,04:59:55,2,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV05/CCTV05_track_2_Car_22-05-2026_04-59-55_f000067_crop.jpg,Truck,White,Car,1779400794,1779400801,2026-05-22T04:59:54.320951,2026-05-22T05:00:01.898960
22-05-2026,CCTV01,04:59:56,1,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV01/CCTV01_track_1_Car_22-05-2026_04-59-56_f000068_crop.jpg,Toyota,Gray,Car,1779400793,1779400801,2026-05-22T04:59:53.875186,2026-05-22T05:00:01.750371
22-05-2026,CCTV04,04:59:56,0,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_0_Car_22-05-2026_04-59-56_f000068_crop.jpg,Toyota,White,Car,1779400794,1779400800,2026-05-22T04:59:54.320951,2026-05-22T05:00:00.561664
22-05-2026,CCTV05,04:59:56,2,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV05/CCTV05_track_2_Car_22-05-2026_04-59-56_f000068_crop.jpg,Toyota,White,Car,1779400794,1779400801,2026-05-22T04:59:54.320951,2026-05-22T05:00:01.898960
22-05-2026,CCTV01,04:59:56,1,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV01/CCTV01_track_1_Car_22-05-2026_04-59-56_f000069_crop.jpg,Toyota,Gray,Car,1779400793,1779400801,2026-05-22T04:59:53.875186,2026-05-22T05:00:01.750371
22-05-2026,CCTV04,04:59:56,0,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_0_Car_22-05-2026_04-59-56_f000069_crop.jpg,Mitsubishi,White,Car,1779400794,1779400800,2026-05-22T04:59:54.320951,2026-05-22T05:00:00.561664
22-05-2026,CCTV05,04:59:56,2,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV05/CCTV05_track_2_Car_22-05-2026_04-59-56_f000069_crop.jpg,Toyota,White,Car,1779400794,1779400801,2026-05-22T04:59:54.320951,2026-05-22T05:00:01.898960
22-05-2026,CCTV01,04:59:56,1,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV01/CCTV01_track_1_Car_22-05-2026_04-59-56_f000070_crop.jpg,Toyota,Gray,Car,1779400793,1779400801,2026-05-22T04:59:53.875186,2026-05-22T05:00:01.750371
22-05-2026,CCTV04,04:59:56,0,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_0_Car_22-05-2026_04-59-56_f000070_crop.jpg,Mitsubishi,White,Car,1779400794,1779400800,2026-05-22T04:59:54.320951,2026-05-22T05:00:00.561664
